,method,s,N,k,iter,error,diff_max,time
0,DI,20,1999,1,1,1.2669572600062368e-15,8.881784197001252e-16,0.00020030001178383827
1,WMI,20,1999,1,1,1.5785821891503182e-15,8.881784197001252e-16,4.600000102072954e-05
2,ISM,20,1999,1,1,1.5786090522882035e-15,8.881784197001252e-16,3.509997623041272e-05
3,DI,20,1999,1,2,1.2669572600062368e-15,8.881784197001252e-16,0.0002072000061161816
4,WMI,20,1999,1,2,1.5785821891503182e-15,8.881784197001252e-16,3.649998689070344e-05
5,ISM,20,1999,1,2,1.5786090522882035e-15,8.881784197001252e-16,2.9099988751113415e-05
6,DI,20,1999,1,3,1.2669572600062368e-15,8.881784197001252e-16,0.00018350000027567148
7,WMI,20,1999,1,3,1.5785821891503182e-15,8.881784197001252e-16,3.8300000596791506e-05
8,ISM,20,1999,1,3,1.5786090522882035e-15,8.881784197001252e-16,2.710000262595713e-05
9,DI,20,1999,1,4,1.2669572600062368e-15,8.881784197001252e-16,0.00017779998597688973
10,WMI,20,1999,1,4,1.5785821891503182e-15,8.881784197001252e-16,3.709999145939946e-05
11,ISM,20,1999,1,4,1.5786090522882035e-15,8.881784197001252e-16,2.81000102404505e-05
12,DI,20,1999,1,5,1.2669572600062368e-15,8.881784197001252e-16,0.0001720000000204891
13,WMI,20,1999,1,5,1.5785821891503182e-15,8.881784197001252e-16,2.4100008886307478e-05
14,ISM,20,1999,1,5,1.5786090522882035e-15,8.881784197001252e-16,1.8200022168457508e-05
15,DI,20,1999,1,6,1.2669572600062368e-15,8.881784197001252e-16,0.00012159999459981918
16,WMI,20,1999,1,6,1.5785821891503182e-15,8.881784197001252e-16,3.680001827888191e-05
17,ISM,20,1999,1,6,1.5786090522882035e-15,8.881784197001252e-16,2.859998494386673e-05
18,DI,20,1999,1,7,1.2669572600062368e-15,8.881784197001252e-16,0.00016739999409765005
19,WMI,20,1999,1,7,1.5785821891503182e-15,8.881784197001252e-16,2.5100016500800848e-05
20,ISM,20,1999,1,7,1.5786090522882035e-15,8.881784197001252e-16,2.0000006770715117e-05
21,DI,20,1999,1,8,1.2669572600062368e-15,8.881784197001252e-16,0.000159399991389364
22,WMI,20,1999,1,8,1.5785821891503182e-15,8.881784197001252e-16,2.0500010577961802e-05
23,ISM,20,1999,1,8,1.5786090522882035e-15,8.881784197001252e-16,1.6799982404336333e-05
24,DI,20,1999,1,9,1.2669572600062368e-15,8.881784197001252e-16,0.00015269999857991934
25,WMI,20,1999,1,9,1.5785821891503182e-15,8.881784197001252e-16,2.7999980375170708e-05
26,ISM,20,1999,1,9,1.5786090522882035e-15,8.881784197001252e-16,2.030000905506313e-05
27,DI,20,1999,1,10,1.2669572600062368e-15,8.881784197001252e-16,0.0004169000021647662
28,WMI,20,1999,1,10,1.5785821891503182e-15,8.881784197001252e-16,3.659998765215278e-05
29,ISM,20,1999,1,10,1.5786090522882035e-15,8.881784197001252e-16,2.8400012524798512e-05
30,DI,20,1999,1,11,1.2669572600062368e-15,8.881784197001252e-16,0.00017889999435283244
31,WMI,20,1999,1,11,1.5785821891503182e-15,8.881784197001252e-16,2.099998528137803e-05
32,ISM,20,1999,1,11,1.5786090522882035e-15,8.881784197001252e-16,1.580000389367342e-05
33,DI,20,1999,1,12,1.2669572600062368e-15,8.881784197001252e-16,0.00014450002345256507
34,WMI,20,1999,1,12,1.5785821891503182e-15,8.881784197001252e-16,1.4899997040629387e-05
35,ISM,20,1999,1,12,1.5786090522882035e-15,8.881784197001252e-16,1.170000177808106e-05
36,DI,20,1999,1,13,1.2669572600062368e-15,8.881784197001252e-16,0.00014980000560171902
37,WMI,20,1999,1,13,1.5785821891503182e-15,8.881784197001252e-16,3.57000099029392e-05
38,ISM,20,1999,1,13,1.5786090522882035e-15,8.881784197001252e-16,2.7499976567924023e-05
39,DI,20,1999,1,14,1.2669572600062368e-15,8.881784197001252e-16,0.00016979998326860368
40,WMI,20,1999,1,14,1.5785821891503182e-15,8.881784197001252e-16,2.579999272711575e-05
41,ISM,20,1999,1,14,1.5786090522882035e-15,8.881784197001252e-16,1.960000372491777e-05
42,DI,20,1999,1,15,1.2669572600062368e-15,8.881784197001252e-16,0.00014360001659952104
43,WMI,20,1999,1,15,1.5785821891503182e-15,8.881784197001252e-16,1.3399985618889332e-05
44,ISM,20,1999,1,15,1.5786090522882035e-15,8.881784197001252e-16,1.0599993402138352e-05
45,DI,20,1999,1,16,1.2669572600062368e-15,8.881784197001252e-16,0.00013770000077784061
46,WMI,20,1999,1,16,1.5785821891503182e-15,8.881784197001252e-16,1.2300006346777081e-05
47,ISM,20,1999,1,16,1.5786090522882035e-15,8.881784197001252e-16,1.0599993402138352e-05
48,DI,20,1999,1,17,1.2669572600062368e-15,8.881784197001252e-16,0.00016160000814124942
49,WMI,20,1999,1,17,1.5785821891503182e-15,8.881784197001252e-16,3.6500015994533896e-05
50,ISM,20,1999,1,17,1.5786090522882035e-15,8.881784197001252e-16,2.81000102404505e-05
51,DI,20,1999,1,18,1.2669572600062368e-15,8.881784197001252e-16,0.00017259997548535466
52,WMI,20,1999,1,18,1.5785821891503182e-15,8.881784197001252e-16,1.2599979527294636e-05
53,ISM,20,1999,1,18,1.5786090522882035e-15,8.881784197001252e-16,1.0599993402138352e-05
54,DI,20,1999,1,19,1.2669572600062368e-15,8.881784197001252e-16,0.0001317999849561602
55,WMI,20,1999,1,19,1.5785821891503182e-15,8.881784197001252e-16,3.6600016755983233e-05
56,ISM,20,1999,1,19,1.5786090522882035e-15,8.881784197001252e-16,2.8400012524798512e-05
57,DI,20,1999,1,20,1.2669572600062368e-15,8.881784197001252e-16,0.00016289998893626034
58,WMI,20,1999,1,20,1.5785821891503182e-15,8.881784197001252e-16,1.3399985618889332e-05
59,ISM,20,1999,1,20,1.5786090522882035e-15,8.881784197001252e-16,1.1199997970834374e-05
60,DI,20,1999,1,21,1.2669572600062368e-15,8.881784197001252e-16,0.00013420000323094428
61,WMI,20,1999,1,21,1.5785821891503182e-15,8.881784197001252e-16,3.5900011425837874e-05
62,ISM,20,1999,1,21,1.5786090522882035e-15,8.881784197001252e-16,2.7600006433203816e-05
